id,video
201801220LAC,2Czcwj4WUfk
201801220MEM,LMtJByzR_IU
201801220MIL,N1Hziiou9JU
201801220NOP,jyRtO1BImS4
201801230GSW,19V79LZTMmc
201801230LAL,VxeHywECdNc
201801230OKC,QSRLWCt8iHE
201801230ORL,LparOp-f2Do
201801230SAS,-qGMpolsItE
201801240ATL,8RIbjNtZxwY
201801240CHO,jyRtO1BImS4
201801240DAL,pt4vJc8m2N0
201801240DET,UIrg-AGw_jA
201801240IND,jDLo3SiHnq8
201801240LAC,7DT_8xZwDRU
201801240MEM,AAjzDSuhW1E
201801240PHI,nvljyqSWps8
201801240POR,IdcJyvjy4lg
201801250DEN,RNtCYcME_5Q
201801250GSW,ZLC39IhDvyU
201801250MIA,3SAhpqxHmGs
201801250OKC,e5tAJjDyKkw
201801260CHI,riHkgYQZevI
201801260CHO,g-1MhHU_TkQ
201801260CLE,R_maehPDJcM
201801260DAL,_HmzH_s8SYA
201801260MEM,ZCSwWwvvO_M
201801260MIL,hVpkFu9pSZc
201801260NOP,r4FNInfwXwo
201801260PHO,El_a8fiyVdg
201801260SAS,On92Yt7Bq20
201801260TOR,sE-6Rd1OO94
201801270ATL,x6igizMSo04
201801270DEN,3A8anVZyyek
201801270DET,GkWeYt3V4GI
201801270GSW,DkFZtEY8QKQ
201801270IND,TCLbK6sEDdg
201801270MIA,1hsDgtLbzlc
201801270MIN,4vGmWBSLEsw
201801280CHI,-pE7eyQDVgA
201801280CLE,uA8hz-x1zxo
201801280HOU,6eR-7JKRnWU
201801280NOP,7JUPS2bXp8Y
201801280OKC,P7llLVc8Fe0
201801280SAS,5iMACbIWQLI
201801280TOR,4umRHTpWLsg
201801290ATL,IdcJyvjy4lg
201801290DAL,x6d5JdoLu7Q
201801290DEN,zGRQLI7HwsU
201801290IND,4Bl19esiSoY
201801290MEM,fPNp6rG7pAo
201801290MIL,qsyv4PeKMao
201801300DET,xyKlHA3q1PQ
201801300HOU,YJgUuHX6L4k
201801300LAC,ADjFUqvxG_M
201801300NOP,H_Bh0uqQVp8
201801300NYK,O1heRpamZKE
201801300SAS,q2zSmQHuij4
201801300TOR,hVsUKXkiD2E
201801300UTA,soD3XHdjGK0
201801300WAS,C8qvHo1v4KI
